Hidden Layer,Neurons,Lookback,Train E100 MSE,Train E100 Mape,Train E100 R^2,Train E500 MSE,Train E500 Mape,Train E500 R^2,Train E800 MSE,Train E800 Mape,Train E800 R^2
5,120,120,0.024987277789757800,280239.5271082030,0.025146029807709100,0.01631672991501110,256207.63266100200,0.3576676491852650,0.010702388412268000,200856.00429815800,0.5725470008430900
5,48,60,0.024857100243562100,249016.83472835300,0.021210688137721600,0.017778007062438000,242268.62102862000,0.29023766422144400,0.013385800854893600,226045.4592574240,0.45149855978180200
5,60,60,0.02530545606781470,294011.2128757890,0.00539646209161654,0.018826119932476600,287700.88036157000,0.24491031306767200,0.013421955412733700,261507.48910407400,0.44851211123218200
5,96,120,0.02553695775977860,295846.15630323800,0.002593244825090680,0.01779829254271570,272912.21921625200,0.29276200572213000,0.011554082210820500,199410.72122802300,0.5407942572792810
3,96,120,0.025318920530460700,288874.58770739400,0.011555321923979000,0.018098436828170500,264855.27592493400,0.2825672534795910,0.013072618948561800,228018.17666579900,0.4846346574825250
5,192,240,0.025854083837034400,285785.5509826390,0.030427878521621700,0.015950486395214800,216519.2025721800,0.3918587662735760,0.010547855032645900,161187.78374653600,0.6034946008951950
5,60,120,0.025940637626163300,240665.2923751240,-0.006809868655361970,0.020432004091012600,232654.2240824230,0.1915112458742580,0.013017149529532400,176464.16703075400,0.4848733210301660
5,30,60,0.02412634729364210,304655.7470454150,0.04278503487679920,0.018016694098691100,295866.44476389700,0.28045187096729500,0.01530292961940430,275814.03223372800,0.37927928825564300
3,240,240,0.0258649432428898,324232.9615432470,0.02337583647525000,0.017606807603845600,281006.2645641080,0.3369383884935960,0.012210791854530000,240688.10402897400,0.5369977702552310
5,240,240,0.025499836479262100,309833.4179314150,0.03737764699118480,0.015333336177920100,225568.4860996210,0.4193558600831660,0.009509800289792850,153527.98069953400,0.6314242457856940
3,60,60,0.025120661727019700,268268.42005572000,-0.008522437952548390,0.021446661643176600,268938.4900828850,0.16047549693383900,0.017749942188836300,262793.01466269300,0.2778927404508090
3,120,120,0.026765969878697100,300349.93286166300,-0.04815270678027650,0.020988950771944900,275588.51864653400,0.1703707890196160,0.016090745014230600,232788.21030644000,0.3663867712020870
1,48,60,0.02496160028156670,268749.7450843980,0.018043194418755600,0.021123807011880900,273507.9987810340,0.16531428412219700,0.018915510520050500,274400.4760879470,0.24527974233767400
1,60,60,0.0254029367860153,269035.10304639700,-0.00647698623315992,0.02162198678096720,276602.14018861200,0.14286327362060500,0.019364598884840400,276751.67438759700,0.2295921845970870
1,96,120,0.025667026905076800,284167.3132288590,0.006787166490659610,0.02147385903767180,273618.0793388700,0.15405681762066500,0.018982180353295000,258967.09881700800,0.25485277044904100
3,48,60,0.025051377384173600,279736.6023460540,-0.0005612223743596610,0.02240855514739600,279534.7479454090,0.11715433777413200,0.019670249000241400,276377.085080884,0.21401807741424900
3,60,120,0.025902419013309000,303814.329584478,-0.021078231570484900,0.022048050476299500,287044.4872466710,0.144393170272911,0.018274597905494400,268736.329921953,0.28508871204250500
1,120,120,0.025249623007826800,272145.5545687200,0.026242589557563900,0.02096843666263990,267600.6870028320,0.17389704565425500,0.018564858965084400,249460.24071544600,0.26965673677213900
3,120,240,0.025749783876077800,299551.38956398000,0.03431463258954600,0.018193800925513400,266379.87569792800,0.3221097011607870,0.012599565289675700,211614.77699453300,0.5237123950577340
3,30,60,0.025634450925009300,269018.09870835300,-0.026155744837186700,0.023063919339105200,277227.123537224,0.08959228986095840,0.020582601539939800,277668.1863696580,0.1750674052773240
3,192,240,0.026305796383030200,269103.6781745780,0.01331645267697880,0.01907806507917260,240496.5628482500,0.2907477459129020,0.013609299172834600,187956.22089690700,0.48848125225601000
5,120,240,0.026730495991060400,278333.4719700490,-0.0026697226237972700,0.01799102802557260,229528.398579211,0.3205739018173330,0.011243693647314300,149991.45769585300,0.5691973169065430
1,30,60,0.02582501404693670,284193.57563203200,-0.018582141287973000,0.023179610487377100,281111.38502105200,0.08572493479630660,0.021401439180401200,283876.1475661120,0.14977889608477400
1,120,240,0.027503744940716000,324770.4922828010,-0.026772976964277700,0.02199558207205890,293764.1568831170,0.18626669005819400,0.018989707003877000,277863.1110620750,0.2836589020820820
1,240,240,0.026450015332973400,298939.539036976,0.006474446277229150,0.020706286186857400,284665.62692472100,0.2291599081139520,0.01761417864732250,265786.21592744700,0.33398482264304600
1,192,240,0.026445363884460500,288148.08710418600,0.011976579187910300,0.021324038673898200,274522.3700429290,0.21087149593642400,0.01829747479332950,259969.90842267600,0.30905304723161300
1,60,120,0.026652194375356500,272469.263961792,-0.029808959463140500,0.023512883725893400,266514.8704400120,0.08846101459566050,0.021530149074701200,255857.4541286220,0.15112891564002400